"Antibody","Virus","Study","IC50 (ug/mL)"
"RoAb13/PGDM1400/PGT121","231965_C1","Khan2018_dataset1","3.859"
"VRC01/PGDM1400-10E8v4","231965_C1","Xu2017","0.029"
"10E8V1.1/P140","231966_C2","Huang2016","<0.0001"
"10E8V2.0/iMab","231966_C2","Huang2016","<0.0001"
"10E8V2.0/iMab","231966_C2","Wagh2018","<0.0001"
"3BNC117/10-1074","231966_C2","Bournazos2016_dataset1","4.74"
"3BNC117/10-1074-IgG3C","231966_C2","Bournazos2016_dataset1","1.263"
"3BNC117/PGT135-IgG3C","231966_C2","Bournazos2016_dataset1","0.025"
"3BNC117/PGT135-IgG3C","231966_C2","Wagh2018","0.025"
"8ANC195/PGT128-IgG3C","231966_C2","Bournazos2016_dataset1","0.071"
"PG16/PGT121","231966_C2","Bournazos2016_dataset1","0.024"
"PG16/PGT128","231966_C2","Bournazos2016_dataset1","0.03"
"PGT151/10-1074-IgG3C","231966_C2","Bournazos2016_dataset1","0.181"
"PGT151/35O22","231966_C2","Bournazos2016_dataset1","0.913"
"10E8/N6","235_47","Khan2018_dataset1","0.0183"
"10E8/PGDM1400/PRO-140","235_47","Khan2018_dataset1","<0.0001"
"10E8/PGT121/PGDM1400.V8","235_47","Khan2018_dataset1","0.0158"
"10E8V1.1/P140","235_47","Huang2016","<0.0001"
"10E8V2.0/iMab","235_47","Huang2016","0.0002"
"3BNC117/10-1074","235_47","Bournazos2016_dataset1","0.114"
"3BNC117/10-1074-IgG3C","235_47","Bournazos2016_dataset1","0.044"
"3BNC117/PGT135-IgG3C","235_47","Bournazos2016_dataset1","0.015"
"8ANC195/PGT128-IgG3C","235_47","Bournazos2016_dataset1",">30"
"M36/PRO-140","235_47","Khan2018_dataset1","0.0066"
"N6/10E8v4-PGDM1400","235_47","Xu2017","0.01"
"N6/PGDM1400-10E8v4","235_47","Xu2017","0.006"
"PG16/PGT121","235_47","Bournazos2016_dataset1","1.039"
"PG16/PGT128","235_47","Bournazos2016_dataset1","1.006"
"PGDM1400/PRO-140","235_47","Khan2018_dataset1","0.0023"
"PGT151/10-1074-IgG3C","235_47","Bournazos2016_dataset1","0.032"
"PGT151/35O22","235_47","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","235_47","Khan2018_dataset1","0.001"
"RoAb13/PGDM1400/PGT121","235_47","Khan2018_dataset1","0.0047"
"VRC01/PGDM1400-10E8v4","235_47","Xu2017","0.027"
"N6/10E8v4-PGDM1400","242_14","Xu2017","0.018"
"N6/PGDM1400-10E8v4","242_14","Xu2017","0.014"
"VRC01/PGDM1400-10E8v4","242_14","Xu2017","0.019"
"N6/10E8v4-PGDM1400","246_F3_C10_2","Xu2017","0.013"
"N6/PGDM1400-10E8v4","246_F3_C10_2","Xu2017","0.011"
"VRC01/PGDM1400-10E8v4","246_F3_C10_2","Xu2017","0.031"
"N6/10E8v4-PGDM1400","247_23","Xu2017","0.023"
"N6/PGDM1400-10E8v4","247_23","Xu2017","0.009"
"VRC01/PGDM1400-10E8v4","247_23","Xu2017","0.024"
"10E8/N6","249M_B10","Khan2018_dataset1","0.039"
"10E8/PGDM1400/PRO-140","249M_B10","Khan2018_dataset1","0.005"
"10E8/PGT121/PGDM1400.V8","249M_B10","Khan2018_dataset1","0.1677"
"10E8V1.1/P140","249M_B10","Huang2016","0.001"
"10E8V2.0/iMab","249M_B10","Huang2016","0.022"
"3BNC117/10-1074","249M_B10","Bournazos2016_dataset1","0.355"
"3BNC117/10-1074-IgG3C","249M_B10","Bournazos2016_dataset1","0.184"
"3BNC117/PGT135-IgG3C","249M_B10","Bournazos2016_dataset1","0.024"
"8ANC195/PGT128-IgG3C","249M_B10","Bournazos2016_dataset1","0.173"
"M36/PRO-140","249M_B10","Khan2018_dataset1","0.0033"
"PG16/10-1074","249M_B10","Bournazos2016_dataset1","0.146"
"PG16/PGT121","249M_B10","Bournazos2016_dataset1","0.052"
"PG16/PGT128","249M_B10","Bournazos2016_dataset1","0.041"
"PGDM1400/PRO-140","249M_B10","Khan2018_dataset1","0.0027"
"PGT151/10-1074-IgG3C","249M_B10","Bournazos2016_dataset1","0.019"
"PGT151/35O22","249M_B10","Bournazos2016_dataset1","0.05"
"PRO-140/PGDM1400/PGT121","249M_B10","Khan2018_dataset1","0.039"
"RoAb13/PGDM1400/PGT121","249M_B10","Khan2018_dataset1","0.1728"
"10E8/PGT121/PGDM1400.V8","25710_2_43","Khan2018_dataset3","0.0332"
"10E8/PGT121/PGDM1400.V8.4DS","25710_2_43","Khan2018_dataset3","0.0054"
"N6/10E8v4-PGDM1400","25710_2_43","Xu2017","0.021"
"N6/PGDM1400-10E8v4","25710_2_43","Xu2017","0.009"
"VRC01/PGDM1400-10E8v4","25710_2_43","Xu2017","0.025"
"N6/10E8v4-PGDM1400","25711_2_4","Xu2017","0.348"
"N6/PGDM1400-10E8v4","25711_2_4","Xu2017","0.215"
"VRC01/PGDM1400-10E8v4","25711_2_4","Xu2017","0.602"
"N6/10E8v4-PGDM1400","25925_2_22","Xu2017","0.011"
"N6/PGDM1400-10E8v4","25925_2_22","Xu2017","0.004"
"VRC01/PGDM1400-10E8v4","25925_2_22","Xu2017","0.015"
"N6/10E8v4-PGDM1400","26191_2_48","Xu2017","0.02"
"N6/PGDM1400-10E8v4","26191_2_48","Xu2017","0.006"
"VRC01/PGDM1400-10E8v4","26191_2_48","Xu2017","0.002"
"10E8/N6","263_8","Khan2018_dataset1","0.0604"
"10E8/PGDM1400/PRO-140","263_8","Khan2018_dataset1","0.002"
"10E8/PGT121/PGDM1400.V8","263_8","Khan2018_dataset1","0.0091"
"10E8V1.1/P140","263_8","Huang2016","<0.0001"
"10E8V2.0/iMab","263_8","Huang2016","<0.0001"
"3BNC117/10-1074","263_8","Bournazos2016_dataset1","0.053"
"3BNC117/10-1074-IgG3C","263_8","Bournazos2016_dataset1","0.029"
"3BNC117/PGT135-IgG3C","263_8","Bournazos2016_dataset1","0.009"
"8ANC195/PGT128-IgG3C","263_8","Bournazos2016_dataset1","0.187"
"M36/PRO-140","263_8","Khan2018_dataset1","0.0085"
"N6/10E8v4-PGDM1400","263_8","Xu2017","0.04"
"N6/PGDM1400-10E8v4","263_8","Xu2017","0.017"
"PG16/10-1074","263_8","Bournazos2016_dataset1","0.222"
"PG16/PGT121","263_8","Bournazos2016_dataset1","0.531"
"PG16/PGT128","263_8","Bournazos2016_dataset1","0.323"
"PGDM1400/PRO-140","263_8","Khan2018_dataset1","0.0054"
"PGT151/10-1074-IgG3C","263_8","Bournazos2016_dataset1","1.941"
"PGT151/35O22","263_8","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","263_8","Khan2018_dataset1","0.035"
"RoAb13/PGDM1400/PGT121","263_8","Khan2018_dataset1","0.0556"
"VRC01/PGDM1400-10E8v4","263_8","Xu2017","0.01"
"N6/10E8v4-PGDM1400","269_12","Xu2017","0.379"
"N6/PGDM1400-10E8v4","269_12","Xu2017","0.185"
"VRC01/PGDM1400-10E8v4","269_12","Xu2017","0.386"
"N6/10E8v4-PGDM1400","286_36","Xu2017","0.022"
"N6/PGDM1400-10E8v4","286_36","Xu2017","0.018"
"VRC01/PGDM1400-10E8v4","286_36","Xu2017","0.003"
"N6/10E8v4-PGDM1400","288_38","Xu2017","0.019"
"N6/PGDM1400-10E8v4","288_38","Xu2017","0.024"
"VRC01/PGDM1400-10E8v4","288_38","Xu2017","0.061"
"10E8/N6","3016_V5_C45","Khan2018_dataset1","0.0078"
"10E8/PGDM1400/PRO-140","3016_V5_C45","Khan2018_dataset1","0.012"
"10E8/PGT121/PGDM1400.V8","3016_V5_C45","Khan2018_dataset1","0.1556"
"10E8V1.1/P140","3016_V5_C45","Huang2016","0.003"
"10E8V2.0/iMab","3016_V5_C45","Huang2016","0.001"
"10E8V2.0/iMab","3016_V5_C45","Wagh2018","0.001"
"3BNC117/10-1074","3016_V5_C45","Bournazos2016_dataset1","17.306"
"3BNC117/10-1074-IgG3C","3016_V5_C45","Bournazos2016_dataset1","2.627"
"3BNC117/PGT135-IgG3C","3016_V5_C45","Bournazos2016_dataset1","0.146"
"3BNC117/PGT135-IgG3C","3016_V5_C45","Wagh2018","0.146"
"8ANC195/PGT128-IgG3C","3016_V5_C45","Bournazos2016_dataset1","0.347"
"M36/PRO-140","3016_V5_C45","Khan2018_dataset1","0.0051"
"N6/10E8v4-PGDM1400","3016_V5_C45","Xu2017","0.03"
"N6/PGDM1400-10E8v4","3016_V5_C45","Xu2017","0.014"
"PG16/10-1074","3016_V5_C45","Bournazos2016_dataset1",">50"
"PG16/PGT121","3016_V5_C45","Bournazos2016_dataset1",">50"
"PG16/PGT128","3016_V5_C45","Bournazos2016_dataset1",">50"
"PGDM1400/PRO-140","3016_V5_C45","Khan2018_dataset1","0.0283"
"PGT151/10-1074-IgG3C","3016_V5_C45","Bournazos2016_dataset1","0.8"
"PGT151/35O22","3016_V5_C45","Bournazos2016_dataset1","1.785"
"PRO-140/PGDM1400/PGT121","3016_V5_C45","Khan2018_dataset1","0.384"
"RoAb13/PGDM1400/PGT121","3016_V5_C45","Khan2018_dataset1","0.7723"
"VRC01/PGDM1400-10E8v4","3016_V5_C45","Xu2017","0.005"
"10E8/N6","3103_V3_C10","Khan2018_dataset1","0.0064"
"10E8/PGDM1400/PRO-140","3103_V3_C10","Khan2018_dataset1","1.638"
"10E8/PGT121/PGDM1400.V1","3103_V3_C10","Khan2018_dataset2","0.251"
"10E8/PGT121/PGDM1400.V2","3103_V3_C10","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V3","3103_V3_C10","Khan2018_dataset2","0.543"
"10E8/PGT121/PGDM1400.V4","3103_V3_C10","Khan2018_dataset2","0.236"
"10E8/PGT121/PGDM1400.V5","3103_V3_C10","Khan2018_dataset2","0.476"
"10E8/PGT121/PGDM1400.V6","3103_V3_C10","Khan2018_dataset2","0.218"
"10E8/PGT121/PGDM1400.V7","3103_V3_C10","Khan2018_dataset2","0.622"
"10E8/PGT121/PGDM1400.V8","3103_V3_C10","Khan2018_dataset1","0.0012"
"10E8/PGT121/PGDM1400.V8","3103_V3_C10","Khan2018_dataset2","0.174"
"10E8V1.1/P140","3103_V3_C10","Huang2016",">10"
"10E8V2.0/iMab","3103_V3_C10","Huang2016","0.728"
"3BNC117/10-1074","3103_V3_C10","Bournazos2016_dataset1","0.265"
"3BNC117/10-1074-IgG3C","3103_V3_C10","Bournazos2016_dataset1","0.085"
"3BNC117/PGT135-IgG3C","3103_V3_C10","Bournazos2016_dataset1","0.067"
"8ANC195/PGT128-IgG3C","3103_V3_C10","Bournazos2016_dataset1","0.045"
"M36/PRO-140","3103_V3_C10","Khan2018_dataset1","0.0007"
"PG16/PGT121","3103_V3_C10","Bournazos2016_dataset1","7.101"
"PG16/PGT128","3103_V3_C10","Bournazos2016_dataset1","5.523"
"PGDM1400/PRO-140","3103_V3_C10","Khan2018_dataset1","1.025"
"PGT151/10-1074-IgG3C","3103_V3_C10","Bournazos2016_dataset1","0.027"
"PGT151/35O22","3103_V3_C10","Bournazos2016_dataset1","0.311"
"PRO-140/PGDM1400/PGT121","3103_V3_C10","Khan2018_dataset1","0.016"
"RoAb13/PGDM1400/PGT121","3103_V3_C10","Khan2018_dataset1","0.0001"
"N6/10E8v4-PGDM1400","3168_V4_C10","Xu2017","0.209"
"N6/PGDM1400-10E8v4","3168_V4_C10","Xu2017","0.114"
"VRC01/PGDM1400-10E8v4","3168_V4_C10","Xu2017","0.104"
"10E8/N6","3301_V1_C24","Khan2018_dataset1","0.156"
"10E8/PGDM1400/PRO-140","3301_V1_C24","Khan2018_dataset1","0.029"
"10E8/PGT121/PGDM1400.V1","3301_V1_C24","Khan2018_dataset2","0.719"
"10E8/PGT121/PGDM1400.V2","3301_V1_C24","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V3","3301_V1_C24","Khan2018_dataset2","0.592"
"10E8/PGT121/PGDM1400.V4","3301_V1_C24","Khan2018_dataset2","0.669"
"10E8/PGT121/PGDM1400.V5","3301_V1_C24","Khan2018_dataset2","0.968"
"10E8/PGT121/PGDM1400.V6","3301_V1_C24","Khan2018_dataset2","0.543"
"10E8/PGT121/PGDM1400.V7","3301_V1_C24","Khan2018_dataset2","0.626"
"10E8/PGT121/PGDM1400.V8","3301_V1_C24","Khan2018_dataset1","0.0071"
"10E8/PGT121/PGDM1400.V8","3301_V1_C24","Khan2018_dataset3","0.0725"
"10E8/PGT121/PGDM1400.V8","3301_V1_C24","Khan2018_dataset2","0.442"
"10E8/PGT121/PGDM1400.V8Fc","3301_V1_C24","Khan2018_dataset3","0.6894"
"10E8V1.1/P140","3301_V1_C24","Huang2016","0.01"
"10E8V2.0/iMab","3301_V1_C24","Huang2016","0.003"
"3BNC117/10-1074","3301_V1_C24","Bournazos2016_dataset1","0.066"
"3BNC117/10-1074-IgG3C","3301_V1_C24","Bournazos2016_dataset1","0.03"
"3BNC117/PGT135-IgG3C","3301_V1_C24","Bournazos2016_dataset1","0.615"
"8ANC195/PGT128-IgG3C","3301_V1_C24","Bournazos2016_dataset1","0.097"
"M36/PRO-140","3301_V1_C24","Khan2018_dataset1","0.0171"
"N6/10E8v4-PGDM1400","3301_V1_C24","Xu2017","0.04"
"N6/PGDM1400-10E8v4","3301_V1_C24","Xu2017","0.016"
"PG16/PGT121","3301_V1_C24","Bournazos2016_dataset1","0.03"
"PG16/PGT128","3301_V1_C24","Bournazos2016_dataset1","0.03"
"PGDM1400/PRO-140","3301_V1_C24","Khan2018_dataset1","0.0584"
"PGT151/10-1074-IgG3C","3301_V1_C24","Bournazos2016_dataset1","0.014"
"PGT151/35O22","3301_V1_C24","Bournazos2016_dataset1","0.077"
"PRO-140/PGDM1400/PGT121","3301_V1_C24","Khan2018_dataset1","0.018"
"RoAb13/PGDM1400/PGT121","3301_V1_C24","Khan2018_dataset1","0.0268"
"VRC01/PGDM1400-10E8v4","3301_V1_C24","Xu2017","0.049"
"N6/10E8v4-PGDM1400","3326_V4_C3","Xu2017","0.004"
"N6/PGDM1400-10E8v4","3326_V4_C3","Xu2017","0.003"
"VRC01/PGDM1400-10E8v4","3326_V4_C3","Xu2017","0.014"
"N6/10E8v4-PGDM1400","3337_V2_C6","Xu2017","0.036"
"N6/PGDM1400-10E8v4","3337_V2_C6","Xu2017","0.012"
"VRC01/PGDM1400-10E8v4","3337_V2_C6","Xu2017","0.059"
"3BNC117/10-1074","3365_V2_C20","Bournazos2016_dataset1","0.066"
"3BNC117/10-1074-IgG3C","3365_V2_C20","Bournazos2016_dataset1","0.041"
"3BNC117/PGT135-IgG3C","3365_V2_C20","Bournazos2016_dataset1","0.017"
"8ANC195/PGT128-IgG3C","3365_V2_C20","Bournazos2016_dataset1","25.057"
"N6/10E8v4-PGDM1400","3365_V2_C20","Xu2017","0.019"
"N6/PGDM1400-10E8v4","3365_V2_C20","Xu2017","0.011"
"PGT151/10-1074-IgG3C","3365_V2_C20","Bournazos2016_dataset1","0.025"
"PGT151/35O22","3365_V2_C20","Bournazos2016_dataset1","0.065"
"VRC01/PGDM1400-10E8v4","3365_V2_C20","Xu2017","0.017"
"3BNC117/10-1074","3415_V1_C1","Bournazos2016_dataset1","0.224"
"3BNC117/10-1074-IgG3C","3415_V1_C1","Bournazos2016_dataset1","0.135"
"3BNC117/PGT135-IgG3C","3415_V1_C1","Bournazos2016_dataset1","0.017"
"8ANC195/PGT128-IgG3C","3415_V1_C1","Bournazos2016_dataset1","0.025"
"N6/10E8v4-PGDM1400","3415_V1_C1","Xu2017","0.061"
"N6/PGDM1400-10E8v4","3415_V1_C1","Xu2017","0.02"
"PGT151/10-1074-IgG3C","3415_V1_C1","Bournazos2016_dataset1","0.01"
"PGT151/35O22","3415_V1_C1","Bournazos2016_dataset1","0.024"
"VRC01/PGDM1400-10E8v4","3415_V1_C1","Xu2017","0.025"
"N6/10E8v4-PGDM1400","3468_V1_C12","Xu2017","0.157"
"N6/PGDM1400-10E8v4","3468_V1_C12","Xu2017","0.061"
"VRC01/PGDM1400-10E8v4","3468_V1_C12","Xu2017","0.25"
"N6/10E8v4-PGDM1400","3589_V1_C4","Xu2017","0.012"
"N6/PGDM1400-10E8v4","3589_V1_C4","Xu2017","0.007"
"VRC01/PGDM1400-10E8v4","3589_V1_C4","Xu2017","0.022"
"N6/10E8v4-PGDM1400","3637_V5_C3","Xu2017","1.62"
"N6/PGDM1400-10E8v4","3637_V5_C3","Xu2017","1.12"
"VRC01/PGDM1400-10E8v4","3637_V5_C3","Xu2017","5.4"
"10E8V2.0/iMab","3718_3_11","Wagh2018","0.006"
"3BNC117/PGT135-IgG3C","3718_3_11","Wagh2018",">25"
"N6/10E8v4-PGDM1400","3718_3_11","Xu2017","0.009"
"N6/PGDM1400-10E8v4","3718_3_11","Xu2017","0.006"
"VRC01/PGDM1400-10E8v4","3718_3_11","Xu2017","0.015"
"10E8/N6","3817_V2_C59","Khan2018_dataset1","0.0079"
"10E8/PGDM1400/PRO-140","3817_V2_C59","Khan2018_dataset1","0.012"
"10E8/PGT121/PGDM1400.V8","3817_V2_C59","Khan2018_dataset1","1.137"
"10E8/PGT121/PGDM1400.V8","3817_V2_C59","Khan2018_dataset3",">1"
"10E8/PGT121/PGDM1400.V8Fc","3817_V2_C59","Khan2018_dataset3","0.3662"
"10E8V1.1/P140","3817_V2_C59","Huang2016","0.002"
"10E8V2.0/iMab","3817_V2_C59","Huang2016","0.008"
"3BNC117/10-1074","3817_V2_C59","Bournazos2016_dataset1","0.916"
"3BNC117/10-1074-IgG3C","3817_V2_C59","Bournazos2016_dataset1","0.471"
"3BNC117/PGT135-IgG3C","3817_V2_C59","Bournazos2016_dataset1","0.066"
"8ANC195/PGT128-IgG3C","3817_V2_C59","Bournazos2016_dataset1","0.039"
"M36/PRO-140","3817_V2_C59","Khan2018_dataset1","0.0177"
"N6/10E8v4-PGDM1400","3817_V2_C59","Xu2017","0.118"
"N6/PGDM1400-10E8v4","3817_V2_C59","Xu2017","0.055"
"PG16/PGT121","3817_V2_C59","Bournazos2016_dataset1","0.011"
"PG16/PGT128","3817_V2_C59","Bournazos2016_dataset1","0.013"
"PGDM1400/PRO-140","3817_V2_C59","Khan2018_dataset1","0.5965"
"PGT151/10-1074-IgG3C","3817_V2_C59","Bournazos2016_dataset1","6.171"
"PGT151/35O22","3817_V2_C59","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","3817_V2_C59","Khan2018_dataset1","5.547"
"RoAb13/PGDM1400/PGT121","3817_V2_C59","Khan2018_dataset1",">40"
"VRC01/PGDM1400-10E8v4","3817_V2_C59","Xu2017","2.48"
"N6/10E8v4-PGDM1400","3873_V1_C24","Xu2017","0.015"
"N6/PGDM1400-10E8v4","3873_V1_C24","Xu2017","0.006"
"VRC01/PGDM1400-10E8v4","3873_V1_C24","Xu2017","0.014"
"N6/10E8v4-PGDM1400","3988_25","Xu2017","0.173"
"N6/PGDM1400-10E8v4","3988_25","Xu2017","0.091"
"VRC01/PGDM1400-10E8v4","3988_25","Xu2017","0.12"
"10E8/PGT121/PGDM1400.V8","398_F1_F6_20","Khan2018_dataset3","0.0218"
"10E8/PGT121/PGDM1400.V8.4DS","398_F1_F6_20","Khan2018_dataset3","0.0093"
"10E8V2.0/iMab","398_F1_F6_20","Wagh2018","0.011"
"3BNC117/PGT135-IgG3C","398_F1_F6_20","Wagh2018","0.064"
"N6/10E8v4-PGDM1400","398_F1_F6_20","Xu2017","0.117"
"N6/PGDM1400-10E8v4","398_F1_F6_20","Xu2017","0.039"
"VRC01/PGDM1400-10E8v4","398_F1_F6_20","Xu2017","0.021"
"N6/10E8v4-PGDM1400","45_01DG5","Xu2017","0.017"
"N6/PGDM1400-10E8v4","45_01DG5","Xu2017","0.01"
"VRC01/PGDM1400-10E8v4","45_01DG5","Xu2017","0.022"
"10E8V2.0/iMab","57128_VRC15","Wagh2018","0.0004"
"3BNC117/PGT135-IgG3C","57128_VRC15","Wagh2018","0.092"
"N6/10E8v4-PGDM1400","57128_VRC15","Xu2017","0.153"
"N6/PGDM1400-10E8v4","57128_VRC15","Xu2017","0.03"
"VRC01/PGDM1400-10E8v4","57128_VRC15","Xu2017","0.056"
"N6/10E8v4-PGDM1400","5768_4","Xu2017","0.146"
"N6/PGDM1400-10E8v4","5768_4","Xu2017","0.069"
"VRC01/PGDM1400-10E8v4","5768_4","Xu2017","0.063"
"10E8/N6","6041_V3_C23","Khan2018_dataset1","0.0106"
"10E8/PGDM1400/PRO-140","6041_V3_C23","Khan2018_dataset1","0.013"
"10E8/PGT121/PGDM1400.V8","6041_V3_C23","Khan2018_dataset1","0.0918"
"10E8V1.1/P140","6041_V3_C23","Huang2016","0.004"
"10E8V2.0/iMab","6041_V3_C23","Huang2016","0.004"
"3BNC117/10-1074","6041_V3_C23","Bournazos2016_dataset1","0.197"
"3BNC117/10-1074-IgG3C","6041_V3_C23","Bournazos2016_dataset1","0.046"
"3BNC117/PGT135-IgG3C","6041_V3_C23","Bournazos2016_dataset1","0.007"
"8ANC195/PGT128-IgG3C","6041_V3_C23","Bournazos2016_dataset1","13.831"
"M36/PRO-140","6041_V3_C23","Khan2018_dataset1","0.0118"
"PG16/10-1074","6041_V3_C23","Bournazos2016_dataset1","2.038"
"PG16/PGT121","6041_V3_C23","Bournazos2016_dataset1","0.05"
"PG16/PGT128","6041_V3_C23","Bournazos2016_dataset1","0.1"
"PGDM1400/PRO-140","6041_V3_C23","Khan2018_dataset1","0.0045"
"PGT151/10-1074-IgG3C","6041_V3_C23","Bournazos2016_dataset1","0.026"
"PGT151/35O22","6041_V3_C23","Bournazos2016_dataset1","0.076"
"PRO-140/PGDM1400/PGT121","6041_V3_C23","Khan2018_dataset1","0.028"
"RoAb13/PGDM1400/PGT121","6041_V3_C23","Khan2018_dataset1","0.1223"
"N6/10E8v4-PGDM1400","6095_V1_C10","Xu2017","0.039"
"N6/PGDM1400-10E8v4","6095_V1_C10","Xu2017","0.015"
"VRC01/PGDM1400-10E8v4","6095_V1_C10","Xu2017","0.006"
"10E8-0fH/0fL","6101_1","Georgiev2014","0.515"
"10E8-0fH/4fL","6101_1","Georgiev2014","0.113"
"10E8-10fH/10fL","6101_1","Georgiev2014","0.02"
"10E8-10fH/16fL","6101_1","Georgiev2014","0.012"
"10E8-10fH/4fL","6101_1","Georgiev2014","0.028"
"10E8-19fH/10fL","6101_1","Georgiev2014","0.002"
"10E8-19fH/16fL","6101_1","Georgiev2014","0.006"
"10E8-2fH/0fL","6101_1","Georgiev2014","3.82"
"10E8-2fH/10fL","6101_1","Georgiev2014","0.056"
"10E8-2fH/4fL","6101_1","Georgiev2014","0.379"
"N6/10E8v4-PGDM1400","6101_1","Xu2017","0.081"
"N6/PGDM1400-10E8v4","6101_1","Xu2017","0.087"
"VRC01-0fH/0fL","6101_1","Georgiev2014",">50"
"VRC01-30fH/10fL","6101_1","Georgiev2014","0.039"
"VRC01-30fH/19fL","6101_1","Georgiev2014","0.079"
"VRC01-5fH/0fL","6101_1","Georgiev2014","0.559"
"VRC01-5fH/10fL","6101_1","Georgiev2014","0.064"
"VRC01-5fH/6fL","6101_1","Georgiev2014","0.066"
"VRC01-8fH/10fL","6101_1","Georgiev2014","0.108"
"VRC01-8fH/19fL","6101_1","Georgiev2014","0.106"
"VRC01-8fH/6fL","6101_1","Georgiev2014","0.224"
"VRC01/PGDM1400-10E8v4","6101_1","Xu2017","0.04"
"10E8/N6","620345_C1","Khan2018_dataset1","0.0925"
"10E8/PGDM1400/PRO-140","620345_C1","Khan2018_dataset1","0.002"
"10E8/PGT121/PGDM1400.V8","620345_C1","Khan2018_dataset1","0.0002"
"10E8V1.1/P140","620345_C1","Huang2016","0.001"
"10E8V2.0/iMab","620345_C1","Huang2016","0.002"
"3BNC117/10-1074","620345_C1","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","620345_C1","Bournazos2016_dataset1",">20"
"3BNC117/PGT135-IgG3C","620345_C1","Bournazos2016_dataset1",">30"
"8ANC195/PGT128-IgG3C","620345_C1","Bournazos2016_dataset1",">30"
"M36/PRO-140","620345_C1","Khan2018_dataset1","0.0002"
"N6/10E8v4-PGDM1400","620345_C1","Xu2017","0.145"
"N6/PGDM1400-10E8v4","620345_C1","Xu2017","0.061"
"PG16/10-1074","620345_C1","Bournazos2016_dataset1",">50"
"PG16/PGT121","620345_C1","Bournazos2016_dataset1",">50"
"PG16/PGT128","620345_C1","Bournazos2016_dataset1",">50"
"PGDM1400/PRO-140","620345_C1","Khan2018_dataset1","0.003"
"PGT151/10-1074-IgG3C","620345_C1","Bournazos2016_dataset1","0.605"
"PGT151/35O22","620345_C1","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","620345_C1","Khan2018_dataset1","0.014"
"RoAb13/PGDM1400/PGT121","620345_C1","Khan2018_dataset1","0.0001"
"VRC01/PGDM1400-10E8v4","620345_C1","Xu2017","2.74"
"10E8/N6","62357_14_D3_4589","Khan2018_dataset1","0.1165"
"10E8/PGDM1400/PRO-140","62357_14_D3_4589","Khan2018_dataset1","0.017"
"10E8/PGT121/PGDM1400.V8","62357_14_D3_4589","Khan2018_dataset1","0.2245"
"10E8/PGT121/PGDM1400.V8","62357_14_D3_4589","Khan2018_dataset3","0.2297"
"10E8/PGT121/PGDM1400.V8Fc","62357_14_D3_4589","Khan2018_dataset3","0.1132"
"10E8V1.1/P140","62357_14_D3_4589","Huang2016","0.002"
"10E8V2.0/iMab","62357_14_D3_4589","Huang2016","0.001"
"3BNC117/10-1074","62357_14_D3_4589","Bournazos2016_dataset1","0.12"
"3BNC117/10-1074-IgG3C","62357_14_D3_4589","Bournazos2016_dataset1","0.056"
"3BNC117/PGT135-IgG3C","62357_14_D3_4589","Bournazos2016_dataset1","0.019"
"8ANC195/PGT128-IgG3C","62357_14_D3_4589","Bournazos2016_dataset1","0.053"
"M36/PRO-140","62357_14_D3_4589","Khan2018_dataset1","0.0009"
"PG16/PGT121","62357_14_D3_4589","Bournazos2016_dataset1",">40"
"PG16/PGT128","62357_14_D3_4589","Bournazos2016_dataset1",">40"
"PGDM1400/PRO-140","62357_14_D3_4589","Khan2018_dataset1","1.168"
"PGT151/10-1074-IgG3C","62357_14_D3_4589","Bournazos2016_dataset1","0.011"
"PGT151/35O22","62357_14_D3_4589","Bournazos2016_dataset1","0.034"
"PRO-140/PGDM1400/PGT121","62357_14_D3_4589","Khan2018_dataset1","5.863"
"RoAb13/PGDM1400/PGT121","62357_14_D3_4589","Khan2018_dataset1","6.418"
"10E8/N6","6240_08_TA5_4622","Khan2018_dataset1","0.6112"
"10E8/PGDM1400/PRO-140","6240_08_TA5_4622","Khan2018_dataset1","0.027"
"10E8/PGT121/PGDM1400.V8","6240_08_TA5_4622","Khan2018_dataset1","0.105"
"10E8V1.1/P140","6240_08_TA5_4622","Huang2016","0.005"
"10E8V2.0/iMab","6240_08_TA5_4622","Huang2016","0.003"
"3BNC117/10-1074","6240_08_TA5_4622","Bournazos2016_dataset1","0.225"
"3BNC117/10-1074-IgG3C","6240_08_TA5_4622","Bournazos2016_dataset1","0.095"
"3BNC117/PGT135-IgG3C","6240_08_TA5_4622","Bournazos2016_dataset1","0.053"
"8ANC195/PGT128-IgG3C","6240_08_TA5_4622","Bournazos2016_dataset1","0.024"
"M36/PRO-140","6240_08_TA5_4622","Khan2018_dataset1","0.042"
"PG16/PGT121","6240_08_TA5_4622","Bournazos2016_dataset1","18.289"
"PG16/PGT128","6240_08_TA5_4622","Bournazos2016_dataset1","12.085"
"PGDM1400/PRO-140","6240_08_TA5_4622","Khan2018_dataset1","1.139"
